authors	journal	year	publisher	title	query
FMN Cobalamin 	NA	researchgate.net	NA	Supplemental tables	AE015451
C Neema, V Marie-Jeanne 	NA	researchgate.net	NA	Kwanho JEONG	AE015451
S Chen, WF Bleam, WJ Hickey 	NA	researchgate.net	NA	Molecular Analysis of Two Bacterioferritin	AE015451
DC Stevens, KR Conway, N Pearce… 	NA	researchgate.net	NA	PLASMID DESCRIPTION	NC_002947
A Fabra, T Taurian 	NA	researchgate.net	NA	María Soledad Anzuay, Ornella Frola, Jorge G. Angelini, Liliana M. Ludueña	NC_002947
KK Ruzimova, K Davranov 	NA	researchgate.net	NA	Journal of Biological and Chemical Research	NC_002947
RH MCa 	NA	researchgate.net	NA	Marinobacter EN SISTEMAS COSTEROS DEL GOLFO DE MÉXICO: IMPLICACIONES ECOLÓGICAS EN LA TRANSFORMACIÓN DE LOS HIDROCARBUROS …	NC_002947
C Song 	NA	scienceopen.com	NA	Supporting Online Material Song, C., et al. 2009. Bioinformatic comparison of bacterial secretomes. Genomics Proteomics Bioinformatics 7: 37-46.	NC_002947
E Porotti 	NA	vbn.aau.dk	NA	Overexpression and secretion of PET-hydrolysing enzymes in Pseudomonas putida KT2440	AE015451
MRC Ríos	NA	NA	NA	[CITATION] El sistema camp-crp de Pseudomonas putida	AE015451
GBA Numbers	NA	NA	NA	[CITATION] SUPPLEMENTARY FILE 1: GENOME SEQUENCES USED FOR ANALYSES	NC_002947
W González-Molero	NA	NA	NA	[CITATION] Potencialidad metabólica de Pseudomonas aeruginosa; Aproximación genómica y proteómica.	NC_002947
R Avendaño Vega	NA	NA	NA	[CITATION] Identificación de genes y proteínas relacionados con la producción de nanopartículas de selenio en Pseudomonas putida KT2440	NC_002947
