authors	journal	year	publisher	title	query
J Rühl, EM Hein, H Hayen, A Schmid… 	Microbial …	 2012 	Wiley Online Library	The glycerophospholipid inventory of Pseudomonas putida is conserved between strains and enables growth condition‐related alterations	AE015451
J Mierzejewska, G Jagura-Burdzy 	Plasmid	 2012 	Elsevier	Prokaryotic ParA–ParB–parS system links bacterial chromosome segregation with the cell cycle	AE015451
AC Intorne, MVV de Oliveira, LM Pereira… 	Int Microbiol	 2012 	revistes.iec.cat	Essential role of the czc determinant for cadmium, cobalt and zinc resistance in Gluconacetobacter diazotrophicus PAl 5	NC_002947
P Ponraj, M Shankar, D Ilakkiam, P Gunasekaran 	Biometals	 2012 	Springer	Influence of siderophore pyoverdine synthesis and iron-uptake on abiotic and biotic surface colonization of Pseudomonas putida S11	NC_002947
LE Yakabe, MM Maccree, P Sudarshana… 	Journal of general plant …	 2012 	Springer	Novel PCR primers for detection of genetically diverse virulent Agrobacterium tumefaciens biovar 1 strains	NC_002947
T del Peso-Santos, M Landfors, E Skärfstad… 	Nucleic acids …	 2012 	academic.oup.com	Pr is a member of a restricted class of σ70-dependent promoters that lack a recognizable −10 element	NC_002947
A Marcobal, B De Las Rivas, JM Landete… 	Critical reviews in …	 2012 	Taylor & Francis	Tyramine and phenylethylamine biosynthesis by food bacteria	NC_002947
SC Troeschel, S Thies, O Link, CI Real, K Knops… 	Journal of …	 2012 	Elsevier	Novel broad host range shuttle vectors for expression in Escherichia coli, Bacillus subtilis and Pseudomonas putida	NC_002947
R Miyazaki, M Minoia, N Pradervand, S Sulser… 	PLoS …	 2012 	journals.plos.org	Cellular variability of RpoS expression underlies subpopulation activation of an integrative and conjugative element	NC_002947
D Davolos, B Pietrangeli 	Ecotoxicology and environmental safety	 2013 	Elsevier	A molecular study on bacterial resistance to arsenic-toxicity in surface and underground waters of Latium (Italy)	AE015451
C Kumar, K Yadav, G Archana, G Naresh Kumar 	Current microbiology	 2013 	Springer	2-Ketogluconic Acid Secretion by Incorporation of Pseudomonas putida KT 2440 Gluconate Dehydrogenase (gad) Operon in Enterobacter asburiae PSI3 Improves …	AE015451
Y Aharon, Z Pasternak, M Ben Yosef… 	Applied and …	 2013 	Am Soc Microbiol	Phylogenetic, metabolic, and taxonomic diversities shape Mediterranean fruit fly microbiotas during ontogeny	AE015451
U Guzik, K Hupert-Kocurek, M Sitnik… 	Antonie Van …	 2013 	Springer	High activity catechol 1,2-dioxygenase from Stenotrophomonas maltophilia strain KB2 as a useful tool in cis,cis-muconic acid production	AE015451
J Kim, JC Oliveros, PI Nikel… 	Environmental …	 2013 	Wiley Online Library	Transcriptomic fingerprinting of Pseudomonas putida under alternative physiological regimes	AE015451
V Chaturvedi, A Kumar 	Process Biochemistry	 2013 	Elsevier	Presence of SDS-degrading enzyme, alkyl sulfatase (SdsA1) is specific to different strains of Pseudomonas aeruginosa	AE015451
F Behlau, JC Hong, JB Jones, JH Graham 	Phytopathology	 2013 	Am Phytopath Society	Evidence for acquisition of copper resistance genes from different sources in citrus-associated xanthomonads	AE015451
MM Pradervand, V Sentchilo, DR Johnson… 	Nicolas …	 2013 	serval.unil.ch	IN PSEUDOMONAS KNACKMUSSII B13	AE015451
R Tistama, U Widyastuti… 	Jurnal Penelitian …	 2013 	ejournal.puslitkaret.co.id	Isolasi Dan Karakterisasi Gen Sitrat Sintase Bakteri Pseudomonas Aeruginosa Dari Filosfer Hevea Brasiliensis Muell. Arg.	AE015451
MS Anzuay, O Frola, JG Angelini, LM Ludueña… 	Symbiosis	 2013 	Springer	Genetic diversity of phosphate-solubilizing peanut (Arachis hypogaea L.) associated bacteria and mechanisms involved in this ability	NC_002947
JA Iserte, BI Stephan, SE Goñi, CS Borio… 	Biotechnology …	 2013 	Wiley Online Library	Family‐specific degenerate primer design: A tool to design consensus degenerated oligonucleotides	NC_002947
S Oh, M Tandukar, SG Pavlostathis… 	Environmental …	 2013 	Wiley Online Library	Microbial community adaptation to quaternary ammonium biocides as revealed by metagenomics	NC_002947
M Takeo, A Ohara, S Sakae, Y Okamoto… 	Journal of …	 2013 	Am Soc Microbiol	Function of a glutamine synthetase-like protein in bacterial aniline oxidation via γ-glutamylanilide	NC_002947
L Molina, P Bernal, Z Udaondo, A Segura… 	Genome …	 2013 	Am Soc Microbiol	Complete genome sequence of a Pseudomonas putida clinical isolate, strain H8234	NC_002947
M Mulet, E García-Valdés, J Lalucat 	Research in Microbiology	 2013 	Elsevier	Phylogenetic affiliation of Pseudomonas putida biovar A and B strains	NC_002947
RE Bishop, C Cambillau, GG Privé, D Hsi… 	Madame Curie …	 2013 	ncbi.nlm.nih.gov	Bacterial lipocalins: origin, structure, and function	NC_002947
D Mielecki, S Saumaa, M Wrzesiński… 	PLoS …	 2013 	journals.plos.org	Pseudomonas putida AlkA and AlkB Proteins Comprise Different Defense Systems for the Repair of Alkylation Damage to DNA – In Vivo, In Vitro, and In Silico …	NC_002947
АА Сечеников, МА Титок 	Весці Нацыянальнай акадэміі навук …	 2013 	elibrary.ru	Анализ нуклеотидной последовательности REP-области плазмиды pBS267 γ-подгруппы IncP-9	NC_002947
G Minovska, T Narančić, M Mandić… 	Genetika …	 2013 	cherry.chem.bg.ac.rs	Limited aromatic pathway genes diversity amongst aromatic compound degrading soil bacterial isolates	NC_002947
N Graf, J Altenbuchner 	Applied microbiology and biotechnology	 2014 	Springer	Genetic engineering of Pseudomonas putida KT2440 for rapid and high-yield production of vanillin from ferulic acid	AE015451
CM Alejandro-Marín, R Bosch, B Nogales 	Marine genomics	 2014 	Elsevier	Comparative genomics of the protocatechuate branch of the β-ketoadipate pathway in the Roseobacter lineage	AE015451
U Guzik, K Hupert-Kocurek, M Sitnik… 	Journal of Molecular …	 2014 	karger.com	Protocatechuate 3,4-Dioxygenase: A Wide Substrate Specificity Enzyme Isolated from Stenotrophomonas maltophilia KB2 as a Useful Tool in Aromatic Acid …	AE015451
YT Zhang, F Jiang, ZX Tian, YX Huo, YC Sun… 	PLoS …	 2014 	journals.plos.org	CRP-Cyclic AMP Dependent Inhibition of the Xylene-Responsive σ54-Promoter Pu in Escherichia coli	AE015451
MA Richards, V Cassen, BD Heavner, NE Ajami… 	PLoS …	 2014 	journals.plos.org	MediaDB: a database of microbial growth conditions in defined media	AE015451
馮啟婷， 劉志俊， 張慧玫 	… Technology and Applications (資訊科技與 …	 2014 	airitilibrary.com	食油假單胞菌聚羥基脂肪酸酯之脂質生化合成反應路徑研究	AE015451
A Santos, S Mendes, V Brissos, LO Martins 	Applied microbiology and …	 2014 	Springer	New dye-decolorizing peroxidases from Bacillus subtilis and Pseudomonas putida MET94: towards biotechnological applications	NC_002947
V Paliwal, SC Raju, A Modak, PS Phale, HJ Purohit 	PloS one	 2014 	journals.plos.org	Pseudomonas putida CSV86: A Candidate Genome for Genetic Bioaugmentation	NC_002947
B Tettmann, A Dötsch, O Armant, CD Fjell… 	Applied and …	 2014 	Am Soc Microbiol	Knockout of extracytoplasmic function sigma factor ECF-10 affects stress resistance and biofilm formation in Pseudomonas putida KT2440	NC_002947
PI Nikel, J Kim, V De Lorenzo 	Environmental microbiology	 2014 	Wiley Online Library	Metabolic and regulatory rearrangements underlying glycerol metabolism in Pseudomonas putida KT2440	NC_002947
MD McMahon, KLJ Prather 	Applied and Environmental …	 2014 	Am Soc Microbiol	Functional Screening and In Vitro Analysis Reveal Thioesterases with Enhanced Substrate Specificity Profiles That Improve Short-Chain Fatty Acid Production in …	NC_002947
L Molina, Z Udaondo, E Duque, M Fernández… 	PloS one	 2014 	journals.plos.org	Antibiotic Resistance Determinants in a Pseudomonas putida Strain Isolated from a Hospital	NC_002947
M Tay, D Roizman, Y Cohen… 	Genome …	 2014 	Am Soc Microbiol	Draft genome sequence of the model naphthalene-utilizing organism Pseudomonas putida OUS82	NC_002947
M Mærk, J Johansen, H Ertesvåg, F Drabløs, S Valla 	BMC genomics	 2014 	Springer	Safety in numbers: multiple occurrences of highly similar homologs among Azotobacter vinelandiicarbohydrate metabolism proteins probably confer adaptive benefits	NC_002947
MV Grosso-Becerra, C Santos-Medellín… 	BMC genomics	 2014 	Springer	Pseudomonas aeruginosa clinical and environmental isolates constitute a single population with high phenotypic diversity	NC_002947
T Li, X Chen, MT Chaudhry, B Zhang, CY Jiang… 	Journal of …	 2014 	Elsevier	Genetic characterization of 4-cresol catabolism in Corynebacterium glutamicum	NC_002947
T Wang, S Jia, K Dai, H Liu… 	Canadian journal of …	 2014 	cdnsciencepub.com	Cloning and expression of a trehalose synthase from Pseudomonas putida KT2440 for the scale-up production of trehalose from maltose	NC_002947
馮啟婷， 劉志俊， 張慧玫 	… Technology and Applications (資訊科技與 …	 2014 	airitilibrary.com	食油假單胞菌聚羥基脂肪酸酯之脂質生化合成反應路徑研究	NC_002947
R Miyazaki, C Bertelli, P Benaglio… 	Environmental …	 2015 	Wiley Online Library	Comparative genome analysis of Pseudomonas knackmussii B13, the first bacterium known to degrade chloroaromatic compounds	AE015451
Y Liu, SM Baird, J Qiao, Y Du… 	Journal of Basic …	 2015 	Wiley Online Library	SecG is required for antibiotic activities of Pseudomonas sp. YL23 against Erwinia amylovora and Dickeya chrysanthemi	AE015451
JC Setubal, NF Almeida 	Biological nitrogen fixation	 2015 	Wiley Online Library	The Azotobacter vinelandii Genome: An Update	NC_002947
S Sengupta, S Jonnalagadda… 	Applied and …	 2015 	Am Soc Microbiol	Metabolic engineering of a novel muconic acid biosynthesis pathway via 4-hydroxybenzoic acid in Escherichia coli	NC_002947
R La Rosa, J Nogales, F Rojo 	Environmental microbiology	 2015 	Wiley Online Library	The Crc/CrcZ‐CrcY global regulatory system helps the integration of gluconeogenic and glycolytic metabolism in Pseudomonas putida	NC_002947
K Kowalska, E Felis 	Acta Biochimica Polonica	 2015 	bibliotekanauki.pl	Identification of selected microorganisms from activated sludge capable of benzothiazole and benzotriazole transformation	NC_002947
W Wang, P Xu, H Tang 	Scientific Reports	 2015 	nature.com	Sustainable production of valuable compound 3-succinoyl-pyridine by genetically engineering Pseudomonas putida using the tobacco waste	NC_002947
KAK Köhler, LM Blank, O Frick… 	Environmental …	 2015 	Wiley Online Library	D‐Xylose assimilation via the Weimberg pathway by solvent‐tolerant Pseudomonas taiwanensis VLB120	NC_002947
P Deng, X Wang, SM Baird, SE Lu 	Standards in genomic sciences	 2015 	Springer	Complete genome of Pseudomonas chlororaphis strain UFB2, a soil bacterium with antibacterial activity against bacterial canker pathogen of tomato	NC_002947
MG Matias, D Gravel, M Combe, T Poisot, C Barbera… 	PeerJ PrePrints	 2015 	peerj.com	Bacteriophage richness reduces bacterial niche overlap in experimental microcosms	NC_002947
李昇昱 	(No Title)	 2015 	repository.dl.itc.u-tokyo.ac.jp	バイオフィルム中での環境細菌の振る舞いにおけるプラスミド機能の解明	NC_002947
Y Qian, Y Otsuka, T Sonoki, B Mukhopadhyay… 	…	 2016 	researchgate.net	Engineered microbial production of 2-pyrone-4, 6-dicarboxylic acid from lignin residues for use as an industrial platform chemical	AE015451
F Rodríguez-Rojas, P Tapia, E Castro-Nallar… 	Frontiers in …	 2016 	frontiersin.org	Draft Genome Sequence of a Multi-Metal Resistant Bacterium Pseudomonas putida ATH-43 Isolated from Greenwich Island, Antarctica	AE015451
PM Henry, SJ Gebben, JJ Tech, JL Yip… 	Frontiers in …	 2016 	frontiersin.org	Inhibition of Xanthomonas fragariae, Causative Agent of Angular Leaf Spot of Strawberry, through Iron Deprivation	AE015451
E Belda, RGA Van Heck… 	Environmental …	 2016 	Wiley Online Library	The revisited genome of Pseudomonas putida KT2440 enlightens its value as a robust metabolic chassis	AE015451
DM Krzyżanowska, A Ossowicki, M Rajewska… 	Frontiers in …	 2016 	frontiersin.org	When Genome-Based Approach Meets the “Old but Good”: Revealing Genes Involved in the Antibacterial Activity of Pseudomonas sp. P482 against Soft Rot …	AE015451
S Lieder, M Jahn, J Koepff, S Müller… 	Biotechnology …	 2016 	Wiley Online Library	Environmental stress speeds up DNA replication in Pseudomonas putida in chemostat cultivations	AE015451
J Cheng, TC Charles 	Applied microbiology and biotechnology	 2016 	Springer	Novel polyhydroxyalkanoate copolymers produced in Pseudomonas putida by metagenomic polyhydroxyalkanoate synthases	AE015451
T Miyamoto, Y Kato, Y Sekiguchi, S Tsuneda, N Noda 	PloS one	 2016 	journals.plos.org	Characterization of MazF-Mediated Sequence-Specific RNA Cleavage in Pseudomonas putida Using Massive Parallel Sequencing	AE015451
J Cheng, TC Charles 	BioRxiv	 2016 	biorxiv.org	Functional metagenomics using Pseudomonas putida expands the known diversity of polyhydroxyalkanoate synthases and enables the production of novel …	AE015451
K Yonezuka, N Araki, J Shimodaira, S Ohji… 	The Journal of General …	 2016 	jstage.jst.go.jp	Isolation and characterization of a bacterial strain that degrades cis-dichloroethenein the absence of aromatic inducers	AE015451
Y Nikolaichik, AU Damienikan 	PeerJ	 2016 	peerj.com	SigmoID: a user-friendly tool for improving bacterial genome annotation through analysis of transcription control signals	AE015451
P Giovanella, L Cabral, FM Bento, C Gianello… 	New biotechnology	 2016 	Elsevier	Mercury (II) removal by resistant bacterial isolates and mercuric (II) reductase activity in a new strain of Pseudomonas sp. B50A	AE015451
M Morales, V Sentchilo, C Bertelli, A Komljenovic… 	PLoS …	 2016 	journals.plos.org	The Genome of the Toluene-Degrading Pseudomonas veronii Strain 1YdBTEX2 and Its Differential Gene Expression in Contaminated Sand	AE015451
F Bakhtiary, HR Sayevand, M Remely… 	Journal of food …	 2016 	Wiley Online Library	Evaluation of bacterial contamination sources in meat production line	NC_002947
JJ Koehorst, JCJ Van Dam, RGA Van Heck… 	Scientific reports	 2016 	nature.com	Comparison of 432 Pseudomonas strains through integration of genomic, functional, metabolic and expression data	NC_002947
L Molina, Z Udaondo, E Duque, M Fernandez… 	PLoS …	 2016 	journals.plos.org	Specific Gene Loci of Clinical Pseudomonas putida Isolates	NC_002947
H Asif, DJ Studholme, A Khan, M Aurongzeb… 	… and Molecular Biology	 2016 	SciELO Brasil	Comparative genomics of an endophytic Pseudomonas putida isolated from mango orchard	NC_002947
TQ Lu, SY Mao, SL Sun, WL Yang, F Ge… 	Journal of agricultural …	 2016 	ACS Publications	Regulation of Hydroxylation and Nitroreduction Pathways during Metabolism of the Neonicotinoid Insecticide Imidacloprid by Pseudomonas putida	NC_002947
K Gemperlein, G Zipf, HS Bernauer, R Müller… 	Metabolic …	 2016 	Elsevier	Metabolic engineering of Pseudomonas putida for production of docosahexaenoic acid based on a myxobacterial PUFA synthase	NC_002947
T Miyamoto, Y Kato, Y Sekiguchi, S Tsuneda, N Noda 	PloS one	 2016 	journals.plos.org	Characterization of MazF-Mediated Sequence-Specific RNA Cleavage in Pseudomonas putida Using Massive Parallel Sequencing	NC_002947
Z Udaondo, L Molina, A Segura… 	Environmental …	 2016 	Wiley Online Library	Analysis of the core genome and pangenome of Pseudomonas putida	NC_002947
S Mindlin, A Petrenko, A Kurakov… 	BioMed Research …	 2016 	Wiley Online Library	Resistance of Permafrost and Modern Acinetobacter lwoffii Strains to Heavy Metals and Arsenic Revealed by Genome Analysis	NC_002947
M Chavarría, Á Goñi-Moreno, V de Lorenzo, PI Nikel 	Msystems	 2016 	Am Soc Microbiol	A metabolic widget adjusts the phosphoenolpyruvate-dependent fructose influx in Pseudomonas putida	NC_002947
C Max, Á Goñi-Moreno, PI Nikel 	MSystems	 2016 	search.proquest.com	A Metabolic Widget Adjusts the Phosphoenolpyruvate-Dependent Fructose Influx in Pseudomonas putida	NC_002947
E Belda, RGA Van Heck… 	Environmental …	 2016 	Wiley Online Library	The revisited genome of Pseudomonas putida KT2440 enlightens its value as a robust metabolic chassis	NC_002947
V Wigneswaran, KF Nielsen, C Sternberg… 	Microbial cell …	 2016 	Springer	Biofilm as a production platform for heterologous production of rhamnolipids by the non-pathogenic strain Pseudomonas putida KT2440	NC_002947
CD Armada, RMC Simora 	Asian Fisheries Science	 2016 	researchgate.net	Isolation and identification of protease-producing Pseudomonas sp. PD14 in the gut of rabbitfish Siganus guttatus (Bloch 1787)	NC_002947
JK Maharana, G Sahu, P Agrawal… 	International Journal of …	 2016 	academia.edu	Microbial Characterization and Phylogenetic Analysis of a Chemolithotrophic Bacterial Strain Isolated from Acid Mine Drainage	NC_002947
Z Chen, W Ling, G Shang 	FEMS Microbiology Letters	 2016 	academic.oup.com	Recombineering and I-SceI-mediated Pseudomonas putida KT2440 scarless gene deletion	NC_002947
I D'Arrigo, K Bojanovič, X Yang… 	Environmental …	 2016 	Wiley Online Library	Genome‐wide mapping of transcription start sites yields novel insights into the primary transcriptome of Pseudomonas putida	NC_002947
VS Pylro, DK Morais, KHM Kalks, LFW Roesch… 	Journal of …	 2016 	Elsevier	Misguided phylogenetic comparisons using DGGE excised bands may contaminate public sequence databases	NC_002947
马文元， 吴旭干， 张小明， 赵庆， 刘灿， 龙晓文， 成永旭… 	水产学报	 2016 	researchgate.net	育肥饲料中虾青素含量对雄性中华绒螯蟹肠道和鳃部可培养优势细菌数量和组成的影响	NC_002947
CW Johnson, PE Abraham, JG Linger, P Khanna… 	Metabolic engineering …	 2017 	Elsevier	Eliminating a global regulator of carbon catabolite repression enhances the conversion of aromatic lignin monomers to muconate in Pseudomonas putida KT2440	AE015451
TA Tomko, MJ Dunlop 	ACS Synthetic Biology	 2017 	ACS Publications	Expression of heterologous sigma factor expands the searchable space for biofuel tolerance mechanisms	AE015451
D Vallenet, A Calteau, S Cruveiller… 	Nucleic acids …	 2017 	academic.oup.com	MicroScope in 2017: an expanding and evolving integrated resource for community expertise of microbial genomes	AE015451
J Puławska, M Gétaz, M Kałużna… 	Cherries: botany …	 2017 	cabidigitallibrary.org	Bacterial diseases.	AE015451
A Fagerlund, T Møretrø, E Heir, R Briandet… 	Applied and …	 2017 	Am Soc Microbiol	Cleaning and disinfection of biofilms composed of Listeria monocytogenes and background microbiota from meat processing surfaces	AE015451
RT Botts, BA Apffel, CJ Walters, KE Davidson… 	Frontiers in …	 2017 	frontiersin.org	Characterization of four multidrug resistance plasmids captured from the sediments of an urban coastal wetland	NC_002947
DJ Magill, VN Krylov, OV Shaburova, JW McGrath… 	PLoS …	 2017 	journals.plos.org	Pf16 and phiPMW: Expanding the realm of Pseudomonas putida bacteriophages	NC_002947
K Gemperlein, M Hoffmann, L Huo, P Pilak… 	Metabolic …	 2017 	Elsevier	Synthetic biology approaches to establish a heterologous production system for coronatines	NC_002947
C Molina‐Santiago, Z Udaondo… 	Environmental …	 2017 	Wiley Online Library	Global transcriptional response of solvent‐sensitive and solvent‐tolerant Pseudomonas putida strains exposed to toluene	NC_002947
J Li, S Qian, L Xiong, C Zhu, M Shu, J Wang… 	Frontiers in …	 2017 	frontiersin.org	Comparative Genomics Reveals Specific Genetic Architectures in Nicotine Metabolism of Pseudomonas sp. JY-Q	NC_002947
H Huang, X Tao, Y Jiang, A Khan, Q Wu, X Yu, D Wu… 	Scientific Reports	 2017 	nature.com	The naphthalene catabolic protein NahG plays a key role in hexavalent chromium reduction in Pseudomonas brassicacearum LZ-4	NC_002947
K Bojanovič, I D'Arrigo, KS Long 	Applied and environmental …	 2017 	Am Soc Microbiol	Global transcriptional responses to osmotic, oxidative, and imipenem stress conditions in Pseudomonas putida	NC_002947
VC Vasvi Chaudhry… 	Advances in PGPR …	 2017 	cabidigitallibrary.org	Genome insights into plant growth-promoting rhizobacteria, an important component of rhizosphere microbiome.	NC_002947
M Stritzler, G Soto, N Ayub 	Microbial ecology	 2018 	Springer	Plant growth-promoting genes can switch to be virulence factors via horizontal gene transfer	AE015451
Y Shan, H Harms, LY Wick 	Environmental science & technology	 2018 	ACS Publications	Electric field effects on bacterial deposition and transport in porous media	AE015451
OO Adelowo, J Vollmers, I Mäusezahl, AK Kaster… 	Scientific reports	 2018 	nature.com	Detection of the carbapenemase gene blaVIM-5 in members of the Pseudomonas putida group isolated from polluted Nigerian wetlands	AE015451
A Miranda-Carrazco, JM Vigueras-Cortés… 	Archives of …	 2018 	Springer	Cyanotrophic and arsenic oxidizing activities of Pseudomonas mendocina P6115 isolated from mine tailings containing high cyanide concentration	NC_002947
P Calero, SI Jensen, K Bojanovič… 	Biotechnology and …	 2018 	Wiley Online Library	Genome‐wide identification of tolerance mechanisms toward p‐coumaric acid in Pseudomonas putida	NC_002947
A Benshahar, V Chalifa-Caspi, D Hermelin… 	Journal of …	 2018 	liebertpub.com	A biclique approach to reference-anchored gene blocks and its applications to genomic islands	NC_002947
BC Agaras, A Iriarte, CF Valverde 	PloS one	 2018 	journals.plos.org	Genomic insights into the broad antifungal activity, plant-probiotic properties, and their regulation, in Pseudomonas donghuensis strain SVBP6	NC_002947
E Blanco-Romero, M Redondo-Nieto… 	Scientific reports	 2018 	nature.com	Genome-wide analysis of the FleQ direct regulon in Pseudomonas fluorescens F113 and Pseudomonas putida KT2440	NC_002947
Y Guo, Y Yang, J Li, J Li, S Liu, S Zhu… 	FEB-FRESENIUS …	 2018 	researchgate.net	ANALYSES OF THE DISTRIBUTION AND CHARACTERIZATION OF RHIZOSPHERE MICROORGANISMS OF=,=, 3+ 86-8-8% $ L. IN THE TARIM BASIN	NC_002947
Y Zheng, Y Li, H Long, X Zhao, K Jia, J Li… 	Frontiers in …	 2018 	frontiersin.org	bifA Regulates Biofilm Development of Pseudomonas putida MnB1 as a Primary Response to H2O2 and Mn2+	NC_002947
R Miyazaki, H Yano, V Sentchilo, JR van der Meer 	Scientific reports	 2018 	nature.com	Physiological and transcriptome changes induced by Pseudomonas putida acquisition of an integrative and conjugative element	NC_002947
Y Xiao, W Zhu, H Liu, H Nie, W Chen… 	Applied and …	 2018 	Am Soc Microbiol	FinR Regulates Expression of nicC and nicX Operons, Involved in Nicotinic Acid Degradation in Pseudomonas putida KT2440	NC_002947
DL Sánchez‐Hevia, L Yuste… 	Environmental …	 2018 	Wiley Online Library	Influence of the Hfq and Crc global regulators on the control of iron homeostasis in Pseudomonas putida	NC_002947
KM Giglio, CE Keohane, PV Stodghill… 	ACS infectious …	 2018 	ACS Publications	Transcriptomic Profiling Suggests That Promysalin Alters the Metabolic Flux, Motility, and Iron Regulation in Pseudomonas putida KT2440	NC_002947
C Kröger, KD MacKenzie, EY Alshabib… 	Nucleic acids …	 2018 	academic.oup.com	The primary transcriptome, small RNAs and regulation of antimicrobial resistance in Acinetobacter baumannii ATCC 17978	NC_002947
L Bardet, T Cimmino, C Buffet, C Michelle… 	OMICS: A Journal of …	 2018 	liebertpub.com	Microbial Culturomics Application for Global Health: Noncontiguous Finished Genome Sequence and Description of Pseudomonas massiliensis Strain CB-1T sp …	NC_002947
YP Shen, LS Fong, ZB Yan, JZ Liu 	Biotechnology for biofuels	 2019 	Springer	Combining directed evolution of pathway enzymes and dynamic pathway regulation using a quorum-sensing circuit to improve the production of 4 …	AE015451
WJ Li, LN Jayakody, MA Franden… 	Environmental …	 2019 	Wiley Online Library	Laboratory evolution reveals the metabolic and regulatory basis of ethylene glycol metabolism by Pseudomonas putida KT2440	AE015451
E Shinoda, K Takahashi, N Abe… 	Journal of Industrial …	 2019 	academic.oup.com	Isolation of a novel platform bacterium for lignin valorization and its application in glucose-free cis,cis-muconate production	AE015451
MP Uko, IR Udotong, SI Umana 	Journal of Biology and …	 2019 	researchgate.net	Homology-dependent metagenomics study of agricultural soils in Akwa Ibom State, Nigeria	AE015451
VS Nadar, J Chen, DS Dheeman, AE Galván… 	Communications …	 2019 	nature.com	Arsinothricin, an arsenic-containing non-proteinogenic amino acid analog of glutamate, is a broad-spectrum antibiotic	AE015451
Y Li, S Zhao, J Zhang, Y He, J Zhang, R Ge 	Processes	 2019 	mdpi.com	Screening and Diversity Analysis of Aerobic Denitrifying Phosphate Accumulating Bacteria Cultivated from A2O Activated Sludge	AE015451
A Domröse, J Hage-Hülsmann, S Thies, R Weihmann… 	Scientific reports	 2019 	nature.com	Pseudomonas putida rDNA is a favored site for the expression of biosynthetic genes	AE015451
P Emami, M Mehrabi-Koushki, J Hayati… 	Journal of Microbial …	 2019 	bjm.ui.ac.ir	Detection and identification of some Pseudomonas species causing soft Rot using TUF gene	AE015451
D Rutz, D Frasson, M Sievers, J Blom, F Rezzonico… 	Diversity	 2019 	mdpi.com	Comparative Genomic Analysis of the Biotechnological Potential of the Novel Species Pseudomonas wadenswilerensis CCOS 864T and Pseudomonas reidholzensis CCOS …	AE015451
امامی, مهرابی کوشکی, حیاتی, آئینی 	زیست شناسی میکروبی	 2019 	bjm.ui.ac.ir	ردیابی و شناسایی برخی از گونه های جنس سودوموناس عامل پوسیدگی نرم با استفاده از ژن tuf	AE015451
M Rasul, S Yasmin, M Suleman, A Zaheer, T Reitz… 	Microbiological …	 2019 	Elsevier	Glucose dehydrogenase gene containing phosphobacteria for biofortification of Phosphorus with growth promotion of rice	NC_002947
SN Ethica, AR Sulistyaningtyas… 	IOP Conference Series …	 2019 	iopscience.iop.org	In-silico specificity comparison between GMF-GMR and JMF-JMR primers for detecting moaC genes of food spoilage bacteria pseudomonas spp	NC_002947
M Otto, B Wynands, T Drepper, KE Jaeger… 	ACS synthetic …	 2019 	ACS Publications	Targeting 16S rDNA for Stable Recombinant Gene Expression in Pseudomonas	NC_002947
E Shinoda, K Takahashi, N Abe… 	Journal of Industrial …	 2019 	academic.oup.com	Isolation of a novel platform bacterium for lignin valorization and its application in glucose-free cis,cis-muconate production	NC_002947
F Delavat, R Moritz, JR van Der Meer 	Mbio	 2019 	Am Soc Microbiol	Transient replication in specialized cells favors transfer of an integrative and conjugative element	NC_002947
N Zhang, H Chen, Y Lyu, Y Wang 	Journal of Chemical …	 2019 	Wiley Online Library	Nitrogen removal by a metal‐resistant bacterium, Pseudomonas putida ZN1, capable of heterotrophic nitrification–aerobic denitrification	NC_002947
L Freschi, AT Vincent, J Jeukens… 	Genome biology and …	 2019 	academic.oup.com	The Pseudomonas aeruginosa Pan-Genome Provides New Insights on Its Population Structure, Horizontal Gene Transfer, and Pathogenicity	NC_002947
M Batrich, L Maskeri, R Schubert, B Ho… 	Frontiers in …	 2019 	frontiersin.org	Pseudomonas Diversity Within Urban Freshwaters	NC_002947
SN Mendoza, BG Olivier, D Molenaar, B Teusink 	Genome biology	 2019 	Springer	A systematic assessment of current genome-scale metabolic reconstruction tools	NC_002947
M García‐Ulloa, GY Ponce‐Soto… 	Environmental …	 2019 	Wiley Online Library	Two Pseudomonas aeruginosa clonal groups belonging to the PA14 clade are indigenous to the Churince system in Cuatro Ciénegas Coahuila, México	NC_002947
H He, W Zhu, I Noor, J Liu, G Li 	Scientia Horticulturae	 2019 	Elsevier	Pseudomonas putida WH-B3 degrades benzoic acid and alleviates its autotoxicity to peach (Prunus persica L. batsch) seedlings grown in replanted soil	NC_002947
Y Suzuki, Y Okamura-Abe, M Nakamura… 	Journal of bioscience …	 2020 	Elsevier	Development of the production of 2-pyrone-4, 6-dicarboxylic acid from lignin extracts, which are industrially formed as by-products, as raw materials	AE015451
E Martínez-García, S Fraile… 	ACS Synthetic …	 2020 	ACS Publications	Naked Bacterium: Emerging Properties of a Surfome-Streamlined Pseudomonas putida Strain	AE015451
P Liang, Y Zhang, B Xu, Y Zhao, X Liu, W Gao… 	Microbial Cell …	 2020 	Springer	Deletion of genomic islands in the Pseudomonas putida KT2440 genome can create an optimal chassis for synthetic biology applications	AE015451
I Bator, T Karmainski, T Tiso, LM Blank 	Frontiers in Bioengineering …	 2020 	frontiersin.org	Killing two birds with one stone–strain engineering facilitates the development of a unique rhamnolipid production process	AE015451
H Kawano, C Suzuki-Minakuchi, D Sugiyama… 	Frontiers in …	 2020 	frontiersin.org	A Novel Small RNA on the Pseudomonas putida KT2440 Chromosome Is Involved in the Fitness Cost Imposed by IncP-1 Plasmid RP4	AE015451
